DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationdesc,optionaltext,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location,FacilityType,Permit_status,Approved,Received,PriorPermit,ExpirationDate
4,Thursday,8AM,5PM,17MFF-0195,1800 MISSION ST,Truck located on Mission St. approximately 48 feet south of the existing bus stop on the corner of Mission & 14th St.,"Tacos, Burritos, Quesadillas, Various Drinks",1036073,,8:00,17:00,9114000,11/8/17 9:41,,3547,1,N,CARDONA'S FOOD TRUCK,6006720.595,2107881.705,37.76822139,-122.4200458,"(37.7682213930814, -122.420045811081)",Truck,APPROVED,12/29/17,10/26/17,,7/15/18
6,Saturday,8AM,5PM,17MFF-0195,1888 MISSION ST,Truck located on Mission St. approximately 40 feet north of the Mission and 15th St. intersection.,"Tacos, Burritos, Quesadillas, Various Drinks",1036076,,8:00,17:00,9114000,11/8/17 9:43,11/8/17 9:44,3547,3,N,CARDONA'S FOOD TRUCK,6006748.628,2107389.255,37.76687082,-122.4199139,"(37.7668708192823, -122.41991389794)",Truck,APPROVED,12/29/17,10/26/17,,7/15/18
2,Tuesday,8AM,5PM,17MFF-0195,1800 MISSION ST,Truck located on Mission St. approximately 48 feet south of the existing bus stop on the corner of Mission & 14th St.,"Tacos, Burritos, Quesadillas, Various Drinks",1036073,,8:00,17:00,9114000,11/8/17 9:41,,3547,1,N,CARDONA'S FOOD TRUCK,6006720.595,2107881.705,37.76822139,-122.4200458,"(37.7682213930814, -122.420045811081)",Truck,APPROVED,12/29/17,10/26/17,,7/15/18
6,Saturday,7AM,6PM,12MFF-0083,79 NEW MONTGOMERY ST,Push cart located on the sidewalk 25 linear feet NW of the Mission St & New Montgomery St intersection.,Hot Indian Chai (Tea),364218,,7:00,18:00,9543000,4/3/12 14:59,5/1/12 15:10,3707,14,N,The Chai Cart,6012448.524,2114861.954,37.78770861,-122.4007238,"(37.7877086092889, -122.400723790401)",Push Cart,SUSPEND,,4/3/12,,
0,Sunday,11AM,3PM,17MFF-0181,400 CALIFORNIA ST,"Truck located approximately 30 linear feet East of Leidesdorff St and California St intersection --- Sandwiches, Meatloaf, Salad, Mac & Cheese, Fries, Mashed Potatos, Seasonal Vegetables","Meatloaf, Grilled Cheese, Chicken Sandwich, Caprese Salad, Kale Salad, Fries, Sweet Potato Fries, Mac and Cheese, Mashed Potatoes",1022810,,11:00,15:00,3528000,9/27/17 16:54,11/13/17 13:43,239,3,N,Serendipity SF,6012361.805,2116831.376,37.79311134,-122.4011623,"(37.7931113386248, -122.401162261588)",Truck,SUSPEND,5/21/18,4/14/17,,7/15/19
2,Tuesday,11AM,3PM,17MFF-0181,332 PINE ST,"Truck located approximately 30 linear feet East of Leidesdorff St and Pine St intersection --- Sandwiches, Meatloaf, Salad, Mac & Cheese, Fries, Mashed Potatos, Seasonal Vegetables","Meatloaf, Grilled Cheese, Chicken Sandwich, Caprese Salad, Kale Salad, Fries, Sweet Potato Fries, Mac and Cheese, Mashed Potatoes",963319,,11:00,15:00,10456000,4/17/17 12:58,11/13/17 13:36,260,6,N,Serendipity SF,6012258.129,2116462.306,37.79209218,-122.401495,"(37.7920921760086, -122.401495038418)",Truck,SUSPEND,5/21/18,4/14/17,,7/15/19
6,Saturday,11AM,3PM,17MFF-0181,400 CALIFORNIA ST,"Truck located approximately 30 linear feet East of Leidesdorff St and California St intersection --- Sandwiches, Meatloaf, Salad, Mac & Cheese, Fries, Mashed Potatos, Seasonal Vegetables","Meatloaf, Grilled Cheese, Chicken Sandwich, Caprese Salad, Kale Salad, Fries, Sweet Potato Fries, Mac and Cheese, Mashed Potatoes",1022810,,11:00,15:00,3528000,9/27/17 16:54,11/13/17 13:43,239,3,N,Serendipity SF,6012361.805,2116831.376,37.79311134,-122.4011623,"(37.7931113386248, -122.401162261588)",Truck,SUSPEND,5/21/18,4/14/17,,7/15/19
3,Wednesday,11AM,3PM,17MFF-0181,400 CALIFORNIA ST,"Truck located approximately 30 linear feet East of Leidesdorff St and California St intersection --- Sandwiches, Meatloaf, Salad, Mac & Cheese, Fries, Mashed Potatos, Seasonal Vegetables","Meatloaf, Grilled Cheese, Chicken Sandwich, Caprese Salad, Kale Salad, Fries, Sweet Potato Fries, Mac and Cheese, Mashed Potatoes",1022810,,11:00,15:00,3528000,9/27/17 16:54,11/13/17 13:43,239,3,N,Serendipity SF,6012361.805,2116831.376,37.79311134,-122.4011623,"(37.7931113386248, -122.401162261588)",Truck,SUSPEND,5/21/18,4/14/17,,7/15/19
4,Thursday,11AM,3PM,17MFF-0181,332 PINE ST,"Truck located approximately 30 linear feet East of Leidesdorff St and Pine St intersection --- Sandwiches, Meatloaf, Salad, Mac & Cheese, Fries, Mashed Potatos, Seasonal Vegetables","Meatloaf, Grilled Cheese, Chicken Sandwich, Caprese Salad, Kale Salad, Fries, Sweet Potato Fries, Mac and Cheese, Mashed Potatoes",963319,,11:00,15:00,10456000,4/17/17 12:58,11/13/17 13:36,260,6,N,Serendipity SF,6012258.129,2116462.306,37.79209218,-122.401495,"(37.7920921760086, -122.401495038418)",Truck,SUSPEND,5/21/18,4/14/17,,7/15/19
1,Monday,12PM,1PM,17MFF-0197,1345 TURK ST,10:00am-10:15am & 12:00pm-12:15pm,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037695,,12:00,13:00,12728000,8/9/11 11:05,8/9/11 11:05,756,1,Y,Munch A Bunch,6003593.053,2112440.566,37.78056219,-122.4311891,"(37.7805621947803, -122.431189105466)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
